,0
86,향기가 좋으네요
87,좋아요
88,나쁘지않음
89,샤프한 향기좋고 가격대비잘 구매한거 같아요
90,좋어요 항상쓰고있어료
91,1년쓸듯
92,좋더라고요
93,향이 강하거나 오래 남지는 않는거 같아요
94,좋아요
95,향기가 좋아서 자주 구매합니다
96,괜찮아요
97,역시 샤프란 향 좋아용ㅎㅎ
98,좋아요
99,향이 좋아요
100,좋아요
101,향은 생각보다 약한데 쓰기는 좋아요
102,완전좋아요
103,싸게 잘산듯ㅎ
104,항상쓰고있어서 좋아요 저렴하게 잘샀네요
105,향이오래가서좋아요
106,섬유유연제중에 가성비 좋구요ㅋ배송도빨라요
107,제가 좋아하는 향이라 잘쓰고 있어요
108,늘 쓰는 제품 입니다좋아요
109,좋은거 집에 앉아서 받을 수 있어 좋네요
110,가성비갑
111,피죤만쓰다 써봤는데 거기서 거기인듯
112,아직써보진 않았지만 향기가 넘칠듯하네여
113,향이 좋아요
114,향이 은은해서 좋아요 재구매 의향 있어요
115,저렴하게 좋은상품 구매한거 같아서 좋네요
116,향은 좋은데 지속시간이 짧아 아쉽네요
117,향도 좋고 좋아요잘쓰고 있어요
118,향 좋아요!!
119,좋습니다 늘 쓰는 상품
120,좋아요
121,늘 쓰던거라 다른향은 아직은 별로라서요
122,저렴하게 잘 구매했어요 배송 감사합니다
123,싸게 구매 잘한것같아요
124,좋아요
125,쓸만해요
126,냄새 좋고 양도 넉넉 담에 또 구입 할껍니다
127,향이은은해사 계속 재구매하고 있어요
128,조항욤ㅎㅎ
129,향이좋아용
130,좋아요
131,향은 그냥은은한편이에요
132,생각보다 향이 너무 없는듯요ㅡㅡ
133,향도 거슬리지 않아 좋아요
134,향이 너무 좋아서 계속 구매하고 있어요
135,좋다니까 아주좋아요
136,향기도 편하고 잘사용하고 있어요
137,늘 변함없는 상쾌한향이 자꾸 저를 유혹해요
138,좋습니다 마트보다 저렴해요
139,가격도 저렴하고 향도 좋고 득템했네요
140,저렴하게 잘 구매했어요
141,배송부터 흠잡을게 없어요
142,항상쓰던제품이예요
143,좋아요
144,최고에요
145,향이 너무 좋어요
146,향이넘좋아요
147,가격대비 만족이에요
