,URL
20,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0iHFgzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10552752&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
21,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0iCiozzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10535338&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
22,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0hqwFzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10451603&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
23,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0hqlqzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10450958&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
24,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0hlFLzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10429723&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
25,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0hZ7Vzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10383109&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
26,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0hWJszzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10372344&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
27,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0hW4jzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10371405&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
28,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0hSC0zzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10356480&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
29,http://cafe.daum.net/_c21_/bbs_nsread?grpid=Jnt6&fldid=IC6M&contentval=0hKIezzzzzzzzzzzzzzzzzzzzzzzzz&datanum=10326140&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=VnKaQtKZsJZB2Q6rEnyTQNJLYJ1BLByrplu4NN3dD8-D6JT3yrB32j.77z8lnRmaeJrfNzeQ6v4RHJrVDQSExGJiVk3X7FWtwKUuQ8kfLxRjBcFgPRfM6WB-5.U2149lM2s-pRl7zHSPdrJZIavrKR69d-EmPT8uJIFlqJbhTqhxWa9H.nCcraQzL6YQA2xaAj.bNVHMtB.LDRg7bIy5h-YkeYwEmcHZ4UXqH76qzoQ8abGLfF2QA9rlo7PFUp.s1ezhGbqCx-gK7hBwuYaREw8QX9zGT1wC
