,0
126,진드기 제거도 되고 베이킹소다도 첨가되서여러모로 맘에 들고 첫째아이부터 저희모두 알레르기에 진드기에 민감해서구매해봤는데 좋더라구요 그리고 때도잘빠져서 다시 구매했어요 강추합니다
127,진드기가 실제로 덜생기는지는 확인할수 없으니 그냥 믿고썼는데 이세제 쓰고서부터 빨래에 이상한 냄새가 살짝나요 첨엔 섬유유연제 탓인가했는데 다른세제 쓰니 안나네요 심한건아니고 아주 미세하게 나지만 빨래갤때마다 신경쓰여서 다른걸로 바꾸네요
128,몇년째 이제품만 쓰네요미세먼지다 뭐다 창문도 못열어놓는날 많아서 빨래에서 꿉꿉한 냄새날까많이 걱정하는데 이건 그것도 좀 덜나게 해주는것 같아요퍼실도 비트도 써봤는데 전 이게 젤 좋은거같아요
129,이불 세탁시 진드기스프레이 뿌리는데 그래도 혹시나 더 낫지 않을까 하는 마응에 사용합니다 혹시나 계피향 기대하시는분들은 계피향 미비하니참고하시길
130,이건 이불 등 침구류 세탁할때 써요결혼하고 살림 오래할수록 느는건 주름과 여러 종류의 세제 뿐인듯 ㅎㅎ액체로 되어 있어서 사용하기도 편리해요
131,빨래를 해보니 정말 좋습니다진드기도 물리친다해서 샀습니다농막에서 일을하다보니 진드기 어느새옷에 달라 붙더군요이세제로 빨래하고 부터는 안보이는데제 생각 일수도 있지만 아무튼 굿 입니다
132,비염있는 울 가족이불 빨래 할 때 사용 합니다진드기에 효과 있다고 하는데그렇겠죠?!
133,처음으로 쿠팡에서 주문해서 사용해보네요!  로켓배송 답게 다른 곳들보다 배송이 빠른점이 너무너무 마음에 드는것 같네요 마트에서 사면 팔아프고 허리아프고 시간써가며 힘들게 구매할것은 이렇게 간단히 구매하니너무너무 좋아요 앞으로도 자주 이용할 생각입니다!
134,배송도빠르고요 세제도맘에들고항도좋네요 때도잘가고맘에들어요 여기서쿠폰써서저렴하게 구매했네요맘에듭니다
135,원래 테크 실내건조를 사용했었는데 가격이 부담이 돼서 조금더 저렴한 진드기 걱정 끝으루 구매 했습니다 빨래두 잘 되고 괜찮네요 앞으로 이걸로 쭉 사용해야겠어요
136,파랑색뚜껑일단 냄새 좋다세척력 확실히 좋다고는 못하겠는데그전 쓰던거에 비해 좋다거품도 적당하고 베이킹소다 구연산 들어가 있다니 그냥저냥깨끗해지는 기분이다초록색뚜껑 세제는 이불위주로 세탁하고 있음왠지 모든 진드기 잡벌레들을 다 없애줄것같은 기분ㅋ이것 또한 냄새좋다둘다 용량 거뜬하고 오래쓸듯깨끗하게 배송와서 좋네
137,제가 사용하고 있는 제품이라 구매해는데 사진이랑 다른네요 투껑에 라벨이 있어야 하는데 없네요 용기색갈도 다른고 혹시 가짜?
138,액체세제 사용해보니 세제찌꺼기도 안남고 깨끗하게 세탁이 되어서참 좋았는데진드기까지 해결되는 세제라 더 안심하고 사용합니다용량이 많아서 맘놓고 푹푹 씁니다ㅎㅎ
139,열심히 세탁기 청소도하고 했는데빨래후 나는 악취잡기가 쉽지 않더라구요ㅡㅡ이제품 사용후 세탁기 악취가 없어졌어요완전 신기신기 ㅎㅎ좋아서 또 구매했씀다
140,항상 쓰는 테크믿고 쓰는 테크밤늦게 주문해도 담날 일찍 도착해서마트가서 사오는것보다 편하고가격도 너무 착하고요즘 쿠팡이 효자여효자ㅋ
141,테크 베이킹소다인가 빨간색 쓰다가 바꿔봤는데 개인적으로 이게 더 마음에 들어요 세탁기 돌아가면서 퍼지는 계피향도 좋고 빨래도 더 깨끗하게 되는 기분이네요
142,리필로 먼저 사용하다 계량컵이 필요해서 용기를 따로 구매했네요 세척력은 뭐 문제없고 다만 용기의 눈금선이 좀 더 명확하면 사용하기 편하겠어요
143,아니이제품 왜 드럼용밖에없는겁니까?일반용 어디갓죠?불편하내요
144,어머니께서 빨래할때 사용하시는건데 테크종류가 많다고 하드라구요!저희는 진드기 사체배설물 제거 용을 쓰는데 어머니께서 필요하다고 두통 구매했습니다!
145,몇번이나 산거라 이거원 똑같은 상품평붙여넣기할수도 없고앞으로도 쭉 쓸건데
146,Satisfied with the cleaning and delivery is quick too
147,빨리 써지는 거에 비함 가격이 저렴하지는 않다는 생각이 조금은 있지만빨래도 깨끗하게 되고 선전을 믿고 쓰니 너무 좋아요
148,세번째 사용합니다 진드기까지 제로라고 하니까 믿고 이용하고 있구요 향도 은은하게 나니 좋구요 지속적으로 쓰니까 누렇게 변하려던 수건들이 하얗게 되어가는 기분이 들정도로 잘 때가 진듯합니다 커피 김칫국물은 두번빨면 제거 되는것 같아요 만족합니다 추천
149,기분탓인지 빨래가 깨끗한 느낌이에요 ㅎㅎ세제 냄새도 뭔가 살균 되는 듯한 깔끔한 냄새ㅎ과탄산이랑 같이 섞어써서 세제 단독의 세척력은 잘 모르겠네요 앞으로도 쭈욱 과탄산과 함께 할거라어쨋든 세탁후 깔끔한 느낌이라 맘에 듭니다
150,진드기 잡는데서 한번 구매해봤어요원래 구매하더 제품이 안전하고 좋아서 쓰다 가격이 넘 쎄서 바꿔봤어요향도 좋은듯 하네요
151,등산을 자주 가기때문에 우선 마음이 놓이구요향도 은은해서 좋아요재구매 계속해서 사용하구있어요
152,고양일 키우는데요녀석이 똥 오줌을 못가려요ㅠㅠ하루에 침대커벌 몇개를 갈고 이불을 몇번을 빠는지수도요금에 전기 요금도 그렇지만 세제값이ㅠㅠ 용량도세정력도 감사합니다
153,어머니께서 자주사용하시는 상품인데 다 떨어져간다고하서 또 구매ㅋ잘쓰고있습니다
154,계속 리큐만 쓰는데 요즘 점점 마음에 안들어요제가 항상 용량을 두배로 쓰고잇는데도 아들옷에 묻은거 하나도 안지워져요그래서 다른제품으로 바꿔서 쓸려고 오늘 처음 사용했는데 그나마 괞찬아요
155,꾸준히 쓰고 있는 제품이에요 눈에 보이지 않지만 일상에 진드기가 많고 잘 없어지지도 않는다 그래서요 눈으로 확인할 수 없어서 진드기 박멸 효과는 모르겠지만 세탁은 잘 돼요 ㅎㅎㅎ
156,좋습니다자꾸 갑자기 피부가 가려워서 혹시나하고이제품으로 바꿔서 모든 의류와 침구를 세탁한 뒤로피부 가려움증이 싹 사라져서이제는 이 제품만 재구매해서 사용하고 있어요
157,매번 구매하는건데 이번엔 세제가 샜어요 ㅡㅡ
158,잘빨려요 옷먼지도 덜묻어 나온것같구요 향도 은은하게 나는것 같구요 헹궁은 제가 워낙여러번 하다보니 이정도면 추천할만 합니다 그래서 다구입해서 사용하고 있습니다
159,진드기를없애준다는건지 사채와배설물만 없애준다는건지애매하게 문구를 적어놨네요사채와배설물은 다른세제를써도 없어지는거 아닐까요?
160,작년에 농장에서 써보니 좋구또다시 풀과의전쟁진드기 그밖의 여러잡벌레와의전쟁시작되는 계절이와서다시 주문했어요올해도 잘쓰겠습니다
161,진드기알러지있는아들때문에 쓰는데 아주잘쓰고있구요소량으로도 빨래가잘되는것같아요 찬물세탁만할수있는데도걱정없이 쓰고있어요
162,진드기걱정 끝이라는 말에 두번째 사네요이불빨래를 자주하는 편이 아니라서 믿고 사봅니다헹굼을 많이 하는편이라 효과가 있을지
163,집먼지 진드기 제거라 해서 비트만 사용했는데 테크에도 나와서 구매해봐요ㅎㅎㅎ그런데 색상이 다른게 하나 와서 당황했어요ㅎ
164,아들이 알레으기검사에 집먼지 진드기 검사에서 이상 반응이 나와제품을 바꾸어 봅니다증명은 안되지만 제품을 믿고 사용합니다
165,한번 이거쓰니 계속 써지네요 가루세제 보다 빨래 널때 먼지도 덜 떨어지는 것 같고   진드기 제거 될거 같고 해서   계속 써요
166,퍼실 썼었는데 저는 가성비 세정력이 퍽 좋은걸 못느껴서세제 유목민하다 추천으로 구입했어요가성비 만족해요재구매 의사 있어요
167,거품 잘나고 때도 잘 빠집니다 이것만 쓰니 표백제나 다른 제품을 안써도 되네요 금전적으로 절약되고 옷도 깨끗해서 좋습니다
168,생각때문일까요?아주좋습니다향도 좋구여진득이 걱정에 몸이근질거렸는데 세탁후로는 그증상이 없어지네요 강추드립니다
169,무난해요 잘 빨리는 것 같구요 진드기 없애준다는데 확인은 못하니 그런가보다하고 잘 쓰고 있어요 좋은게 좋은거죠
170,아주 좋습니다 작은 양으로도 세탁하는데 무리없습니다양도 넉넉하구요 뚜껑으로 세제 양을 조절해서 넣을 수 있어서 좋습니다
171,강쥐도 있고해서 가격이 좀 비싸도 쿠팡에서 저렴하게 구매하여 계속사용중입니다제품은 좋아요 좋을거라 믿고 사용합니다
172,개인적인 후기입니다가격도 저렴하고 거품이 잘 나더라구요냄새도 개운한 향이라가격대비 매우만족합니다
173,잔여물도 없고 섬유유연제 넣지 않아도 레몬향이 은은하게 나서 좋아요한번 사용한 후부터는 계속 애용중입니다
174,햇볕에 안말려도 냄새 안나고 좋아요!일단 꾸준히 사용해볼라고용괜찮으면 앞으로 계속 이것만 살 생각입니당
175,빨래할때 계피향도 나는듯하고 적은양으로 거품도 많이 나서 만족하는 상품이예요 재구매의사완전
176,이것저것 사용하는데 아직 딱 좋다는 세제가 없어 정착하지 못하고 방황하고 있어욪 재구매 할 생각은 있습니다
177,대용량에 싼 가격으르 계속 구매해서 지속적으로 사용하고잇어요진드기알러지에 고양이도키우거덩여ㅋ
178,진드기 퇴치는 마음에드는데 계피향이 너무 진하면 어쩌나 고민했는데그렇지도 않고 마음에들어요
179,진드기걱정에 이걸사서 썼는데세탁후 이불이나 속옷이 더 깨끗하고 뽀득뽀득한 느낌이예요강추입니다
180,다른건모르겠고 오래된수건이나 흰옷들이 삶은듯뽀예지고뽀송뽀송해져 그것만으로도 만족합니다
181,정말빨리도착하네요진드기제거효과는 입증해보지못하니 모르겠지만세탁력은 역시 테크인듯!
182,매번 쓰는 상품입니다 가격도 적당하고 진드기 제거도 해준다하니 안심하고 쓰고있습니다
183,처음 썻는데 만족합니다그런데 항상 느끼는건데 가루세제 쓸때보다 사용량이 점점 늘어요
184,이거 뿌리고 세탁기 돌리면 뭔가 진드기없어지는거같고 그래서 늘 이걸 씁니다ㅋㅋ좋아용
185,가성비짱! 이것만쓰고있어요세탁도잘되는것같고 용량도 많아서오래쓰는거같아요
186,세제 이것저것 써봤지만 사실 잘모르는 1인이라그냥 가격저렴하고 양많은걸루 ㅋㅋ
187,모기약냄새같아요  빨래는잘되는데세탁하고나면 이향이 오래남네요 
188,그렇게 잘빨리진않지만 그래도 다른것보단 진드기없애준다기에 ㄱ그래도 믿고씁니다
189,믿고 쓰는 엘지생활건강 동물실험을 하지 않는다기에 늘 엘지 제품만 씁니다 최고!
190,꿉꿉한 냄새도 없고 이거로 넣어서 빨면 정말 좋습니다금방쓰는게 흠이지만ㅎㅎ
191,항상 쿠팡에서 구매 합니다빠른 배송 착한 가격에 만족하고언제나 쿠팡만 이용합니다
192,저희집에 고양이두마리 잇어서 이불빨래를 일주일에 한번씩 하는데 잘산거같아용!
193,세제는 테크! 이불빨래전용으로 사용하고있어요꾸준히 앞으로 쭉 테크입니다ㅎㅎ
194,저번에 첫번째 구매후 너무 괜찮아서 한번더 구매했어요 !깨끗하게 잘빨리구 좋아용
195,가격이들쑥날쑥 잘 보시고사시면싸게구입하실수있고배송은로켓이라 좋아요!
196,뒷면에 뚜껑 ml 그림이 없네요그거때매 산건데그래서 인터넷으로 쳐보고 넣음여
197,이거쓰다가 하이썼는데 다시돌아왔어요ㅜ역시 진드기 세균엔 최고입니닷ㅋ
198,쿠폰써서 착한가격에 구매완료 한번쓰고나니 계속 이 상품을 쓰게 되네요
199,ㅎㅎ 아이들 야옹이가 있어서리 ㅎㅎ 총 4개 주문 했구용 ㅋ 재구매 했어염
200,진드기제거라고 해서 마트에서 한번 사서 쓴 후론 계속 이것만 쓰게 되네요
201,때가너무잘가고 많은양에 빨래도 특히수건세탁해보세요무지하얗답니다
202,진드기 걱정뚝 하고 믿고 구입했어욤 효과 기대?!ㅎ 하겠습니당
203,꾸준히 쓰고있는 제품진드기 걱정끝 이 부분만찾아서 쓰는중나쁘지않아요
204,다른분들 상품평에 향얘기가 있어서 걱정했는데향 좋은데요?? 
205,전에 다른세제를 사용했었는데 전에꺼보다 깨끗하게 잘 빨립니다강추
206,첨 써보는데 괜찮은거같아요계량컵도 큼직해서 선 잘보이고세척력도 좋네요
207,맨날 요기서 시켜요 빨래를 마니해서 금방 떨어지지만가격대비 쥬아요
208,선전나오는거보고써보고싶었는데 아직 쓰기전이지만좋을것같아여
209,때도 적당히 지워지고 괜찮은데 액체인데 빨레에 찌꺼기가 붙어 나오네요
210,좋습니다 살균도 잘 되는 것 같고 액상형이라 대충 넣어도 잘 녹고 편하네요
211,좋아요전 계속 이 제품만 싸요가격이 조금만 낮았지면 더 좋을것같아요
212,진드기 정말 없어져요다른거에시해 테크가 좋은것같아요만족합니다
213,좋아요 호흡기질환이있어서 사용하기시작했는데괜찮은거같이ㅡ유
214,진드기제거효과있어서뭔가 안심이되요좋아서 자꾸 이것만 찾아요ㅎ
215,진드기 시체 없애준대서 구입햇어요저렴하게 잘 구입했습니다
216,진짜로 진드기가 없어지는지 모르겠지만 느낌상 뭔가 그런느낌이든다
217,진드기퇴치가 되는지는 알수없지만믿고 이번에 두번째 구매했어요
218,계량컵에부어서쓰고 닫을때 흘러서묻어서 다른세재로바꿨어요
219,늘 사용하는 제품인데 쿠폰 덕분에 저렴하게 잘 샀네요배송도 굿굿굿
220,시중에 나온것과 같은건가요 ?조금틀린듯해서 잘써보겠어요
221,아이옷이랑 이불빨때 진드기 걱정없이 세탁할수있어서 좋아요 
222,좋아요 은은하게 향도 나고 흰옷도 하얗게 빨아주는것 같아요
223,이것저것 다 써봤는데 이게조움 세탁세제는 이것만 쓸꺼라는
224,항상주문하는상품입니다마트가격보다 많이 저렴합니다
225,소량만 써도 되고 빨래도 냄새안나고 깨끗하게 빨립니다
226,역시 테크가 가성비갑이네요 이값주고 이런 용량의 세제 못사요
227,아직써보진못했지만진드기퇴치효과있다해서써보렵니다
228,늘 사용하던거고 박하향이 납니다마트보다 저렴하게 샀어요ㅎ
229,드럼인데 일반으로 잘못 주문했어요 다음엔 선택 잘해야겠어요
230,깨끗해지는 느낌이고 찌꺼기도 덜남고 겐춘하네용 만족합니당
231,매번사던거라 액체타입이라 헤프게 쓰는것말고는 좋아요
232,정기적으로 쓰는 제품이라서그런지 이젠 친숙하다랄까!!
233,깨끗깔끔만족해요다른세제보다는다은것같아요
234,양도많고저렴하고 딱 조으네요 다시구매하고시ㅂ어요
235,항상 애용하는 상품이예요 쿠폰써서 저렴하게
236,가격도 착하고 빨래가 참 잘되네요 진드기 퇴출ㅋ
237,찌꺼기 남지않고 깨끗하게 빨리는것 같아서 만족합니다
238,싸게 잘 샀어요! 계속 쓰고 있는데 효과 좋은것 같아요
