,0
30,아직 남은 세제가 있어서 사용은 안해봤습니다만여러 후기 보고 구입했습니다좁은공간에서 말려야되서 특히나 여름철에는 꿉꿉한 냄새 안나면서 말리는게 중요해서요빠른 배송은 마음에 들었어요사용 후에 후기추가할게요
31,겨울이라 두꺼운 옷들 빨리 안마르면 냄새 나는데 이거 쓰고 나서 꿉꿉한 냄새가 확 사라졌어요 너무 좋아서 재구매 합니다수건도 너무 향긋하게 잘 말라서 기분 좋아요겨울철 실내건조 때문에 고민 이시면 이제품 적극 추천 드려요
32,우선 한번써봤는데 실내건조용이긴한데아직 이날씨에는제습기가 필요하긴해요 두꺼운옷에서는 냄새는 어쩔수없네요그래도 전에쓰던 세제들보단 바꾸길 잘한거같아요가격대비 저는 만족하고 쓰렵니당
33,드라마틱하게 뽀송한 냄새는 안 나는데최소한 덜 마른 걸레냄새는 안 나는 걸로 봐서효과가 없지는 않아요기껏 빨래했는데 말리면서 옷에서 걸레냄새나면 화가 치솟던데정신건강을 위해 지속 구매 예정입니다
34,실내건조용 세제 !!! 강추입니다여름 빨래 할때 쉰냄새 나서 찾고 찾다 찾은 세제입니다이 세제로 세탁하면 냄새 안나고 세탁조도 깨끗해진느낌 !!!집안에 빨래 널어도 냄새 안나요 
35,진짜 실내건조를 해도 냄새가 나지 않아요 원룸이라 늘 실내건조를 해야해서 빨래 냄새에 고민이었는데 한방에 해결했습니다 원래쓰던 세제가 남아 있어서 일단 섞어쓰고 있는데도 효과 좋네요
36,다른 세제 쓰다가 새로운거 도전해봤어요 세탁도 잘 되고 이상한 잔향이 남지 않아서 좋아요 세탁후에 꾸리꾸한 세제 잔향 남는 경우가 있는데 이건 산뜻하니 좋아요 여름동안 잘 쓸것 같아요
37,상품2틀만에왔구용가성비 갑입니다 요즘처럼미세먼지 심하고집에서 실내건조 창문도 잘못열고 쵝오인거같아용 용기가 따로없으신분들은 종이컵으로 용량마추면될거같아용
38,지난번에 3리터 한병을 사쓰고 새로 구입했습니다 세제류는 리필이 본품보다 비싼 사기적인 경우도 많은데 이건 리필이 확실이 더 쌉니다 4봉다리나 쟁여놓느니 세제 부자입니다
39,원륨 베란다없어 빨래함 냄새가 났는데 이제품 기대 허봅니다
40,다른제품쓰다가 평좋아서 구매했어요생각보다 좋아요 가격도 양도 다맘에들어요빨래하니 괜희 더깨끗해보이는거같네요다써보구 괜찮으면 또 구매할게요
41,하자도 없고 오프로 쓰던거랑 별차이도 없고 좋았어요
42,쓰고있는 세제가 아직 있어서 사용은 못해봤어요세정력이 좋도 물냄새가 안난다고 해서 구매했어요세정력과 향을 기대 해볼께요 !!쓰고 좋으면 재구매 하겠습니다 
43,건조기가 없어서 장마철에 실내건조용으로 샀어요 진드기 제거용으로 써보니 좋아서 믿고 구매해본 제품입니다 아직 사용전이라 상품에 대해서는 쓸수가 없겠네요 
44,마음에 들어요 처음 구매할때는대용량을 한꺼번에사는것같아서 쌓아둘곳두없다싶었는데가격도 착하고 빨래도 잘되네요건조기 사용하는데냄세걱정없고 좋네요
45,세제가 거기서 거기라는 믿음으로가성비 좋은상품 찾아냈습니다리필용기지만 그립도있고 뚜껑을 닫을수있는 구조라서용기없이도 사용가능합니다짱 좋아요
46,향이 전 시원하고 좋네요 근데 빨래가 잘되는지는 모르겠어요하얀 점퍼에찌든때바르는것까지 해서 세탁했는데안된느낌역시 손빨래가 답일까요
47,매번 정기배송하다가없어졌기에 다른실내건조를 사용했더니 얼룩도흙얼룩안지고 꿉꿉한 냄새가나서 바로구매했어요오늘 세탁했는데 역시 제취향입니다
48,전에 사용하던 세제는 액채형이라서 한번 세탁 시 사용할 양을 가늠을 못해서 헤프게 썼었는데이건 약간 젤리형태라서 좋아요상큼한 민트향 같은것도 나구요
49,남친이랑 2개씩 나눔ㅎㅎ돈은 내가 냄ㅋㅋ걍 무난함 세제가 사실 얼마나 잘 빨리는가는 비교를 해봐야아는거라 걍 씀ㅋㅋ근데 원룸이라 꿉내는 어쩔수업나봄
50,날이 추워지니 빨래에서 쿰쿰한 냄새가 날때가 있어 주문해서 쓰는데 짱 좋아요빨래냄새도 안나고 더 잘 마르는 느낌이에요이젠 이걸루 계속 주문해 써야할 듯 해요
51,장마철이나 최근 비가 많이와서 실내에서 빨래를 말리면 옷에서 불쾌한 냄새가 났었는데 세제를 바꾸곤 불쾌한 향이 싹 없어졌네여 아주아주 만족합니다
52,터지는거없이 배송은 잘 왔어요양도 많고 좋아요근데 실내건조용이라고 빨래에서 쾌쾌한 냄새가 안나는건 아니드라구요그래도 만족하면서 사용하고 있어요
53,남편이 빨래 냄새에 예민해서섬유데오도란트 꼭 쓰는데요이 제품 쓰고 나서 겨울에 방 안에다가 빨래 널어도옷에서 꿉꿉한 냄새가 안나네요만족스러워요
54,작년여름에 빨래 말리면 냄새나서 바꿔본이후 이것만 씁니다이번엔 리필용나와서 많이사놨어요여름이라 빨래더 많이 할게같아요 ㅠ빠른배송 감사합니다
55,통돌이면서 드럼용인지 모르고 샀어요그래도 통돌이에도 여전히 잘 쓰고 있습니다아직 리필용이 써도 써도 남아서 ㅋㅋㅋㅋㅋ다음엔 잘 확인하고 사렵니다
56,얼마전에 세제바꾸면서 처음 사봤는데 향도 은은하기 오래가고 세정도 잘되고 쓰기 좋은거 같아서 리필 사서 쓰려고 사봤습니다 ㅋㅋ든든하네요 네개
57,실내에서 건조 하다 보니 가끔 냄새가 심하게 날 때가 있어서 구매 했는데 효과 있어요 상쾌한 향이 남아있는 건 아니지만 무향 같이 냄새 제거는 되는 듯 하네요
58,진작 쓸껄미세먼지 때문에 밖에도 못 널고실내에 꾸역꾸역 널었었는데 이거 쓰고나니 확실히 덜 꿉꿉해요 향은 약간 씌원한 향기??
59,확실히 냄새는 덜 나요! 땀 많이 흘리는 남편 옷 세제 조금 넣고 불려놨다가 세탁하니 냄새 안나네요 한번 써본후 자주 구매하고 있어요!
60,저렴하게 정말 잘샀어요세정력도 좋지만 무엇보다 냄새에 정말 민감한편인데 실내건조를 해도 꿉꿉한 잡냄새가 나지않아 정말정말 좋습니다
61,이제 추워지니 빨래가 잘 마르지 않아 구매했어요오늘 받아서 아직 사용은 안했지만 실내에서말려도 냄새 안나고 뽀송뽀송 마르길 기대해봅니다
62,찌든때를 아주 깨끗히 없애주지는 못하는거같아요세재가 똑떨어져서 로켓으로 주문하긴했는데그냥 보통세재 아이들옷 찌든때는 못빼주네요
63,이세제를 사용세탁후 섬유유연제를 사용해도 세탁물이 향긋하지가 않은것 같아요가격이 착해서 구매했는데 재구매 의사는 그닥 없습니다
64,여름 필수 아이템입니다비로 인해 실내건조가 잦을때 매년 이것만 쓰는데옷에서 꿉꿉한 냄새도 없고 아주 좋아요 가격도 저렴합니다
65,건조기로만 건조하는데 전에 쓰던 세제는 빨래에서 자꾸 큼큼한 냄새가 나서 바꿔봤는데 섬유유연제는 동일한데도 향기가 달라졌엉
66,동생이 향도좋고 가격도 착하고 때도 잘 빠진다고칭찬한제품입니다 저두 항상쓰지만 비오는날 흐린날은더욱 꼭 사용하는세재입니다
67,자취하면서 테크를 자주 사용하는데 처음으로 인터넷으로 주문했습니다 큰 용량으로 4개나 되니 적어도 1년은 쓰겠어요
68,일반용 주문했어야하는데드럼용으로 잘못 주문ㅜㅜ일반 세탁기엔 드럼용도 사용가능 하다니까 걍 쓰려구요
69,저렴하게 샀어용 뭔가 다른거보다 깔끔하게 빨리는기분 다른재품쓰다가 다시 테크로 삼 좋아용 쿠팡 배송도 빠르고 좋내용
70,자취생인데 베란다가 없어서 방 안에 널어야해서 실내 건조용으로 사봤어요! 아주 만족해요! 냄새도 안 나고 좋네요 
71,원룸에서 쓰는데 항상 실내건조라서 걱정하는데이거 쓰면서 빨래 잘못빨면 냄새나는것들도 안나고뽀송뽀송하니 좋아요
72,본품 사용후 리필 재구매 입니다요즘은 세척력을 많이 필요하지도 않은듯그냥 가격 적당하고 실내건조용이라고 해서 구매
73,일반용 사야하는데 모르구 드럼용을 사버렸네요그래도 성능은 조아요 실내건조해도 꿉꿉한내가 별로없어요
74,저렴하게 잘샀어요!양도 혜자에요!!! 많이파세요!!!실내 건조용 쓰고 난후 물때냄새 안나서 좋아요짱짱!!
75,향이 좀 호불호가 갈릴지도 모르겠지만레몬향 비슷한것이 나는데 그렇다고 레몬향같지는 않다향 지속력이 좋다
76,싼맛에 구입합니다자취방에서 실내건조 하는데 꿉꿉한 냄새는 안나네요섬유유연제를 써서 그런지
77,좋습니다 여름에 냄새 안나고 뽀송하고 피부가 민감한 편인데 세제 이걸로 바꾸고 크게 트러블 난 적도 없네요!
78,아직 써보진 않았지만좋겠지요 요즘같이 미세먼지가많을땐 집안에서 빨래를 말려야하니 써보면 알겠지요
79,재구매한 상품입니다봄철 미세먼지 많을때랑 장마기간에 사용합니다몇년째 쓰는 제품이라 만족합니다
80,로켓이라배송은 엄청빨랐어요실내건조라 비트가루실내건조용 쓰다가액체 사봤어요 짤빨아주었음 하네요
81,아직습하지도않고해서 실내건조에냄새가안나는지는모르겟고  원래테크쓰기도햇고 한번싸봣어용
82,처음구매해서 사용하고 있는데 용량대비 가격도 저렴한것같아서 사용중입니다세탁도잘되는것 같아요
83,요즘 빨래해도 냄새가 나서 바꿨는데 평대로 빨래에서 향이 좋아졌어요다쓰고 재구매해야 겠어요
84,상쾌한 향기가나서 기분또한좋아지게 하네요 확실히 향기때문인지굽굽한 빨래 냄새는 잡아주는듯해요
85,짱짱짱흐린날에 베란다에 널면 잘 안말라서 냄새나는데 이 제품은 냄새안나요실내건조시에도 짱이에요
86,좋은 가격에 잘 삿어요! 항상 실내 건조하다보니 아무래도 냄새가 좀 항상 걱정이었거든요! 잘쓸게요!
87,실내건조 전 이것만 사용해요세탁해도 아무 냄새 안나고 정말 좋아요특히 여름에 더욱 좋은 제품!!!
88,일반세탁기용보다 저렴하기에 샀는데거품력이나 세정력이 좀 차이가 나네요세제는 좋아요
89,항상 사서 쓰는거예요 실내건조용이랑 아닌거랑 써보면 확실히 다릅니다 가격도좋구 다조아요!
90,찐한 땀냄새는 잘안없어지나바요섬유유연제를 써도 그래도 때는 잘 지워지는듯 해요
91,실내에서 빨래 건조를 많이 해서 계속 사용하고 있어요쿠팡이용하니 싸고 편하게 받아 쓰고 있어요
92,ㅈㅓ희는 원래 테크만 쓰고 있어요친정엄마도 흰빨래 때가 잘 빠진다고 이것만 찾읏ㅂ니다
93,여름에 꿉꿉한 냄새가 계속 나서 한번 사봤는데정말 이걸로 빨고나서는 냄새가 안나서 좋았어요
94,지인 추천으로 구매했어요진짜 꿉꿉한 냄새가 안나서 살것같아요감사해요이제 냄새탈출!
95,실내 건조하기때문에 이제품을 애용합니다 가격도 착하고 품질도 좋아요 적극 추천합니다
96,싸게 나와서 구매를 했는데 진짜 마음에 너무 쏘옥가격도 착하고 빠르게 받아서 좋았어요
97,가격도 착하고 리필형만 고집합니다사용하기도 편하고 세탁력도 좋고good입니다요
98,건조되는과정에 빨래에서 꿉꿉한 냄새가나네요먼저쓰던거 사야겠어요 다음에는 ㅠ
99,좋습니당!!! 섬유유연제 안넣고 이거만 넣었는데 냄새 안나요! ㅎㅎㅎㅎ
100,향도 좋고 세탁도 잘 되는 거 같아요 실내에서 말리는데 나쁜 냄새도 안나고 좋네요
101,실내에 건조해도 냄새걱정없다해서 구매했어요 꿉꿉한 냄새가 없어서 좋네요
102,마트에서 구입하다가이번엔 쿠팡에 구매했습니다한번 써보구 재구매 할께요 
103,원래 이렇게 묽옸나요? 쫌 찐뜩한느낌의 액체라고 생각했는데 묽어진느낌이에여
104,추가주문햇답니다실내건조세제라눅눅하고키키한냄새도안나고괜찮더라구요
105,집안에서 빨래 말리는데 진짜 이제품쓰고는 냄새가 안나용세정력도 괜츈하두요
106,실내건조용으로 늘애용중이에요리필용이 저렴하고 양도푸짐하고 좋네여!
107,매번 플라스틱통 버리기 아까워서 이번엔 리필로 구매했어요 양이 많아서 좋아용
108,미세먼지로 실내 건조 할 수 밖에 없는 상황이라 구입햇어요 냄새가 덜 나네요
109,믿고쓰는 테크를 엄청싸게 그리고 겁나많이사서 마음이부자된느낌이여요ㅎㅎ
110,가성비 좋게 잘 산거 같아요액체 세재 뭐 쓸지 고민햇엇는데싸고 좋은거 같아요
111,일반 드럼 세제 대비 실내에 빨래를 널어도 별로 세제 냄새가 나지 않아 좋아요
112,실내건조하는데 냄새도 안나고 물처럼흐르는 세제가 아니라 더맘에 듭니다
113,이제 곧 여름 다가와서 사봄나쁘진않은데 멀겟음액 ㅊ 써야할랑가
114,다른분평에 마르고 특유의 꿉꿉한냄새가잘안난다던데 저도그런거같아요
115,테크를 항상쓰는데 실내건조는 처음이라써볼려구 샀네용 좋았음 좋겠네용
116,아직 사용해보진 않았지만 깨끗하게 빨릴것같아요 빠른배송에 또감동
117,실내건조용이라그래서 샀는데 아직까진 꿉꿉한냄새없고 잘쓰고있어요
118,실내 냄새에 너무 스트레스 받았는데 이런 좋은제품!! 계속 사용할께용
119,매번 집에서 빨래널때 냄새났는데 이거 쓰고 냄새 안나고 계속 사용중!
120,싸게 잘샀습니다 아직 사용하지 않았지만 항상 쓰는거라 믿고 사용합니다
121,겨울철이라서 실내건조 할때 쓰니 확실히 냄새가 안나는 것 같아요
122,겨울 부터 쭉 잘 쓰고있어요확실히 실내에서 건조해도 냄새가 덜나요
123,실외에 널곳이 없어 실내에 널어야되는데사용해보니 괜찮네요
124,미세먼지와겨울철 추위로실내건조 하고 있는데냄새없이 좋아요
125,잘못샀네요 ㅡㅡ드럼이 아니라 일반으로 샀어야했는데
126,걔속쓸 예정입니다쿠팡이다른곳보다 품질도좋구 싸고조아용
127,실내에서 빨래를 말려야되는데 냄새가 안나서 너무 좋아요
128,세탁세제는 잘 모르지만 싸고 양많고 해서 샀음만족하며 쓰는중
129,품질도 세척력도 향도 적당하구요 가격대비 상품으로는 만족
130,안써봤지만 싸서 쟁여놨어요 누가 이거좋다고한거같아서여
131,완전조아요 가격대비 용량도 많고 잘쓰고있습니다
132,수건빨때 물냄새 안나요 일반용보다 드럼용이 더저렴하네용
133,싸게잘샀어요실내에서건조시킬때이세제만한게없어요
134,매번 구입해서 쓰는 드럼세제입니다 가성비 너무 좋아요
135,거의 다 써가서 리필용 샀어요 싸게 잘 구매한 것 같아요
136,겨울엔 실내건조 세제가 더 좋아요 사용 잘하고 있어요
137,꾸준히 사용하는 제품입니다브랜드 믿고 사용합니다
138,한참 쓰겟네요 실내용이라 날씨 상관없이 좋을것 같아요
139,항상 사는 제품 테크 현대백화점 지하일층보다 저렴해요
140,매번 이것맛 사용 비 오고 난 뒤 굽굽한 냄새 까지 잡인 줘요
141,방에서 빨래 말리는데 꿉꿉한 냄새가 안나네요 좋습니다
142,이불 빨았는데 여전히 꿉꿉 ㅜㅜㅜㅜ뭐가 문제일까여?
143,실내건조 이거만 써요 ㅎ 딴거 쓰면 바로 덜마른 냄새남
144,무난히 진 쓰고있습니다실내건조 효과있는거같아요
145,매번쓰는 제품이라서요잘 사용하구있습니다
146,진짜 냄새 안나요!!! 비싼세제 쓸필요없어요ㅎㅎ
147,일반세제보단또 유연제도실내용으로요
148,요즘엔 테크세제만 써요찌든때는 확실히 잘빼주네요
149,항상 세제는 이거 씁니다냄새도 안나고 좋아요
150,실내건조 냄새 제거라해서 주문했는데 별로네요
151,굿 냄새도안나고 자취방애서말리는데 든든합니당
152,항상 애용합니다 빨래 후 깨끗하게 세탁되어 좋아요
153,정말 아저 쓰고는 빨래에서 냄새가 줄어들었습니다
154,일단 싸고그럭저럭 이에요ㅋㅋㅋㅋㅋㅋㅋ
155,쿠폰으로저렴하게
156,항상 쓰는거에요 좋아요
157,13200원 2L4개
158,다른세제보단 빨래냄새를잘 잡아주는거 같아여
159,싸게 잘 샀습니다
160,깨끗하게 때 잘 빠져요
161,굿굿 잘빨리고 가성비도 좋아요
162,잘쓰고잇어요!!
163,가격 대비 좋은것 같습니다
164,처음 써봤는데 좋아요!!!
165,이 제품만써요!! 실내에서 잘 말라요
166,용량이 가격대비 좋았어요!
167,잘 쓸게요
168,구매후 세탁했는데 냄새도 안나고 좋아요
169,생각보다 향이ㅠㅠ
170,실내건조용으로샀어요 좋아요
171,세제는 테크가 좋은것 같아요
172,가격이 경제적이고 빠른배송 감사합니다
173,고농축 같은 그런느낌!!
174,빨래에서 냄새안나서 좋네요
175,깨끗하게 세탁되고 냄새도 적어 좋아요
176,깔끔하고 좋아요
177,좋아요
178,마트보다 진짜 대박 싸네요 넘 잘 쓸거같아요
179,매번 사용하는겁니다 좋아요
180,싸게 잘샀어요!실내건조라 ㄷ더 좋음
181,항상 이것만 써요 냄새안나요
182,쭉 사용중입니다 ㅋ
183,젤로 편히좋아요냄새 꿉꿉하지 해줘
184,가격대비 관찬아요
185,좋아요
186,매번 쓰는 상품입니다
187,보통이에요
188,좋아요 가격 품질
189,1 향 좋음2 쪼매만 넣어두 거품 팡팡
190,항상쓰는거예요!
191,용량도 많고 싸고 좋아요
192,매일 쓰는거에요
193,향이 은은하니 괜찮았어요
194,만족합니다 배송은 전국 최고예요
195,정말로 후회없습니다 이 제품만 써야겠어요
196,솔직히 이거써도 냄새나요
197,가성비 좋네요ㅋ
198,저렴하게 잘 샀구요 배송 감사합니다
199,좋아요 정말 깔끔해요!
200,겨울이라 실내건조구입원래 쓰던거예요
201,빨래가 깨끗하게 되요
202,항상쓰는 제품 좋아용!
203,특유에향이 남긴한데세척력은좋아요
204,아직 쓰진 않았지만 좋겠죠
205,아 진짜 너무 많이 와서 행복할 줄이야
206,가격대비 용량에 만족합니다
207,냄새가 덜한거같아용
208,이세제만 써요세척력도 좋아요
209,가격대비 잘쓰고있어요
210,싸게 잘 샀어요 감사합니다
211,좋아요
212,실내건조용 생각보다 더 좋네요 잘쓰고 있어요
213,실내건조를해도 냄새가 전혀 안나요
214,싸게 사서 조아요
